sign	id	agew_n	heightw_n	weightw_n	want_dietw_n	want_diet_1	id_p_createdw_n	waistw_n	bmi_finalw_n	bmi_1	recentw_n	seoul	metropol	otherregion	company	worker	etcwork	gender	married	d1	d2	d3	d4	loss_up	loss_down	loss_both	d_purpose1	d_purpose2	d_purpose3	diet_food	diet_clinic	20_female	PG01
0	yoon002	0.59	0.33	0.37	0.28	2	0.00	0.38	0.47	2	0.78	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0
0	ari1121	0.86	0.11	0.43	0.28	2	0.00	0.41	0.67	3	0.52	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0	nanalee	0.91	0.06	0.43	0.20	1	0.14	0.41	0.71	3	0.73	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0
0	any75	0.43	0.00	0.00	0.08	1	0.88	0.32	0.17	1	0.14	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0
0	choids1052	0.43	0.39	0.40	0.48	2	0.75	0.50	0.48	2	0.53	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0
0	karen0108	0.27	0.56	0.48	0.16	1	0.90	0.25	0.49	2	0.69	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0
0	monroe	0.86	0.44	0.20	0.28	2	0.00	0.25	0.21	1	0.02	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0
0	pigkbh	0.38	0.33	0.00	0.04	1	0.52	0.41	0.02	1	0.11	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0
0	sadway0403	0.00	0.50	0.37	0.28	2	0.41	0.50	0.38	2	0.45	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0
0	SJ5421	0.05	0.67	0.37	0.28	2	0.62	0.41	0.30	2	0.78	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
0	js211	1.00	0.11	0.20	0.32	2	0.04	0.25	0.38	2	0.65	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0
0	y2kyk	0.27	0.50	0.40	0.24	1	0.79	0.41	0.42	2	0.97	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0
0	9194	0.05	0.56	0.60	0.16	1	0.00	0.38	0.62	3	0.16	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0
0	bjm1106	0.22	0.61	1.00	0.68	3	0.82	0.88	1.00	4	0.13	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0
